F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,5,01,C Barron,29,6,180,Running
2,2,88,D Jarrett,29,7,180,Running
3,9,6,M Martin,29,5,170,Running
4,12,99,J Burton,29,0,160,Running
5,17,43,J Andretti,29,1,160,Running
6,38,31,M Skinner,29,0,150,Running
7,3,25,T Barron,29,6,151,Running
8,14,33,K Schrader,29,0,142,Running
9,15,40,S Marlin,29,0,138,Running
10,4,2,R Wallace,29,0,134,Running
11,10,12,J Mayfield,29,0,130,Running
12,36,44,K Petty,29,0,127,Running
13,29,50,R Craven,29,0,124,Running
14,32,77,R Pressley,29,0,121,Running
15,35,9,L Speed,29,0,118,Running
16,11,94,B Elliott,29,2,120,Running
17,39,91,K Lepage,29,0,112,Running
18,6,3,D Earnhardt,29,0,109,Running
19,1,24,J Gordon,29,2,111,Running
20,26,42,J Nemechek,28,0,103,Running
21,21,10,R Rudd,28,0,100,Running
22,25,28,K Irwin Jr.,28,0,97,Running
23,8,4,B Hamilton,28,0,94,Running
24,34,59,M Gibson,28,0,91,Running
25,16,97,C Little,28,0,88,Running
26,27,16,T Musgrave,28,0,85,Running
27,22,21,M Waltrip,28,0,82,Running
28,7,18,B Labonte,28,0,79,Running
29,31,1,S Park,28,0,76,Running
30,19,22,W Burton,28,0,73,Running
31,18,23,J Spencer,28,0,70,Running
32,20,30,D Cope,28,0,67,Running
33,42,35,T Bodine,28,0,64,Running
34,13,5,T Labonte,28,0,61,Running
35,23,81,K Wallace,28,0,58,Running
36,33,7,G Bodine,28,0,55,Running
37,24,36,E Irvan,27,0,52,Accident
38,37,46,W Dallenbach Jr.,27,0,49,Accident
39,30,26,J Benson Jr.,27,0,46,Retired
40,28,11,B Bodine,27,0,43,Running
41,41,98,G Sacks,27,0,40,Running
42,40,90,D Trickle,17,0,37,Retired
