F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,6,6,M Martin,24,3,180,Running
2,11,99,J Burton,24,0,170,Running
3,4,3,D Earnhardt,24,0,165,Running
4,8,88,D Jarrett,24,0,160,Running
5,34,28,K Irwin Jr.,24,0,155,Running
6,13,33,K Schrader,24,0,150,Running
7,17,5,T Labonte,24,0,146,Running
8,7,40,S Marlin,24,0,142,Running
9,21,22,W Burton,24,0,138,Running
10,26,97,C Little,24,0,134,Running
11,9,4,B Hamilton,24,0,130,Running
12,3,01,C Barron,24,4,132,Running
13,20,10,R Rudd,24,0,124,Running
14,22,26,J Benson Jr.,24,0,121,Running
15,25,81,K Wallace,24,0,118,Running
16,31,23,J Spencer,24,0,115,Running
17,24,11,B Bodine,24,0,112,Running
18,27,31,M Skinner,24,0,109,Running
19,35,1,S Park,24,0,106,Running
20,33,91,K Lepage,24,0,103,Running
21,36,30,D Cope,24,0,100,Running
22,30,16,T Musgrave,24,0,97,Running
23,10,2,R Wallace,24,4,99,Running
24,12,43,J Andretti,24,0,91,Running
25,41,35,T Bodine,24,0,88,Running
26,28,36,E Irvan,24,1,90,Running
27,15,18,B Labonte,24,0,82,Running
28,23,50,R Craven,24,0,79,Running
29,5,94,B Elliott,24,0,76,Running
30,32,42,J Nemechek,24,0,73,Running
31,18,21,M Waltrip,24,0,70,Running
32,29,59,M Gibson,24,0,67,Running
33,39,12,J Mayfield,24,0,64,Running
34,14,9,L Speed,24,0,61,Running
35,38,90,D Trickle,24,0,58,Running
36,16,44,K Petty,24,0,55,Running
37,40,96,D Green,24,0,52,Running
38,37,75,R Mast,24,0,49,Running
39,42,77,R Pressley,17,0,46,Engine
40,1,24,J Gordon,17,0,43,Accident
41,2,25,T Barron,16,12,50,Accident
42,19,7,G Bodine,8,0,37,Ignition
