F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,01,C Barron,51,41,185,Running
2,6,2,R Wallace,50,0,170,Running
3,12,12,J Mayfield,50,0,165,Running
4,10,18,B Labonte,50,0,160,Running
5,11,16,T Musgrave,50,0,155,Running
6,3,24,J Gordon,49,0,150,Running
7,14,99,J Burton,49,2,151,Running
8,5,6,M Martin,49,0,142,Running
9,18,88,D Jarrett,49,0,138,Running
10,1,25,T Barron,49,8,139,Running
11,8,5,T Labonte,49,0,130,Running
12,23,4,B Hamilton,49,0,127,Running
13,9,43,J Andretti,49,0,124,Running
14,4,33,K Schrader,49,0,121,Running
15,13,97,C Little,49,0,118,Running
16,31,40,S Marlin,49,0,115,Running
17,15,21,M Waltrip,49,0,112,Running
18,7,94,B Elliott,49,0,109,Running
19,21,31,M Skinner,49,0,106,Running
20,25,81,K Wallace,49,0,103,Running
21,39,3,D Earnhardt,49,0,100,Running
22,36,1,S Park,49,0,97,Running
23,32,44,K Petty,49,0,94,Running
24,17,36,E Irvan,49,0,91,Running
25,29,11,B Bodine,49,0,88,Running
26,16,26,J Benson Jr.,49,0,85,Running
27,37,7,G Bodine,49,0,82,Running
28,35,28,K Irwin Jr.,48,0,79,Running
29,28,10,R Rudd,48,0,76,Running
30,24,22,W Burton,48,0,73,Running
31,38,91,K Lepage,48,0,70,Running
32,26,23,J Spencer,47,0,67,Running
33,34,42,J Nemechek,47,0,64,Running
34,41,13,J Nadeau,44,0,61,Running
35,27,77,R Pressley,29,0,58,Running
36,42,71,D Marcis,4,0,55,Retired
37,19,30,D Cope,4,0,52,Accident
38,20,90,D Trickle,4,0,49,Accident
39,22,59,M Gibson,3,0,46,Header
40,33,75,R Mast,3,0,43,Header
41,30,50,R Craven,3,0,40,Retired
42,40,9,L Speed,3,0,37,Retired
