F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,6,6,M Martin,59,1,180,Running
2,2,25,T Barron,59,50,180,Running
3,8,88,D Jarrett,59,3,170,Running
4,14,18,B Labonte,59,0,160,Running
5,7,24,J Gordon,59,4,160,Running
6,11,5,T Labonte,59,0,150,Running
7,9,94,B Elliott,59,0,146,Running
8,21,40,S Marlin,59,0,142,Running
9,30,12,J Mayfield,59,0,138,Running
10,19,2,R Wallace,59,0,134,Running
11,17,22,W Burton,59,0,130,Running
12,10,43,J Andretti,59,0,127,Running
13,5,4,B Hamilton,59,0,124,Running
14,3,99,J Burton,59,0,121,Running
15,12,16,T Musgrave,59,0,118,Running
16,15,33,K Schrader,59,0,115,Running
17,20,11,B Bodine,59,0,112,Running
18,1,01,C Barron,59,1,114,Running
19,13,31,M Skinner,59,0,106,Running
20,16,97,C Little,59,0,103,Running
21,41,75,R Mast,59,0,100,Running
22,4,3,D Earnhardt,59,0,97,Retired
23,27,21,M Waltrip,59,0,94,Retired
24,18,23,J Spencer,59,0,91,Retired
25,22,36,E Irvan,59,0,88,Retired
26,23,26,J Benson Jr.,59,0,85,Retired
27,26,7,G Bodine,59,0,82,Tire
28,25,91,K Lepage,59,0,79,Retired
29,24,81,K Wallace,59,0,76,Retired
30,35,50,R Craven,59,0,73,Running
31,28,90,D Trickle,59,0,70,Retired
32,42,77,R Pressley,59,0,67,Running
33,33,59,M Gibson,59,0,64,Running
34,36,30,D Cope,59,0,61,Running
35,31,10,R Rudd,59,0,58,Running
36,37,9,L Speed,59,0,55,Running
37,32,1,S Park,59,0,52,Running
38,39,44,K Petty,58,0,49,Running
39,38,46,W Dallenbach Jr.,58,0,46,Running
40,40,28,K Irwin Jr.,58,0,43,Running
41,34,41,S Grissom,58,0,40,Running
42,29,42,J Nemechek,57,0,37,Running
