RaceNum,RaceName,Name
1,Daytona 500,Daytona International Speedway
2,GM Goodwrench Service Plus 400,North Carolina Speedway
3,Las Vegas 400,Las Vegas Motor Speedway
4,Primestar 500,Atlanta Motor Speedway
5,TranSouth Financial 400,Darlington Raceway
6,Food City 500,Bristol Motor Speedway
7,Texas 500,Texas Motor Speedway
8,Goody's Headache Powder 500,Martinsville Speedway
9,DieHard 500,Talladega Superspeedway
10,California 500,California Speedway
11,Coca-Cola 600,Lowe's Motor Speedway
12,MBNA Platinum 400,Dover Downs International Speedway
13,Pontiac Excitement 400,Richmond International Raceway
14,Miller Lite 400,Michigan Speedway
15,Pocono 500,Pocono Raceway
16,Save Mart/Kragen 350,Sears Point Raceway
17,Jiffy Lube 300,New Hampshire International Speedway
18,Pennsylvania 500,Pocono Raceway
19,Brickyard 400,Indianapolis Motor Speedway
20,The Bud at the Glen,Watkins Glen International
21,Pepsi 400,Michigan Speedway
22,Goody's Headache Powder 500,Bristol Motor Speedway
23,Farm Aid on CMT 300,New Hampshire International Speedway
24,Pepsi Southern 500,Darlington Raceway
25,Exide NASCAR Select Batteries 400,Richmond International Raceway
26,MBNA Gold 400,Dover Downs International Speedway
27,NAPA Autocare 500,Martinsville Speedway
28,UAW-GM Quality 500,Charlotte Motor Speedway
29,Winston 500,Talladega Superspeedway
30,Pepsi 400,Daytona International Speedway
31,Dura Lube/Kmart 500,Phoenix International Raceway
32,AC Delco 400,North Carolina Speedway
33,NAPA 500,Atlanta Motor Speedway
