F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,6,88,D Jarrett,29,10,185,Running
2,38,02,C Barron,29,0,170,Running
3,40,25,T Barron,29,0,165,Running
4,3,17,M Kenseth,29,6,165,Running
5,23,23,J Spencer,29,0,155,Running
6,21,60,G Bodine,29,0,150,Running
7,8,5,T Labonte,29,0,146,Running
8,13,2,R Wallace,29,3,147,Running
9,16,24,J Gordon,29,1,143,Running
10,14,4,B Hamilton,29,0,134,Running
11,9,31,M Skinner,29,2,135,Running
12,5,20,T Stewart,29,6,132,Running
13,20,97,C Little,29,0,124,Running
14,2,6,M Martin,29,0,121,Running
15,7,3,D Earnhardt,29,0,118,Running
16,1,18,B Labonte,29,1,120,Running
17,15,12,J Mayfield,29,0,112,Running
18,24,94,B Elliott,29,0,109,Running
19,35,75,T Musgrave,29,0,106,Running
20,31,11,B Bodine,29,0,103,Running
21,17,1,S Park,28,0,100,Running
22,18,33,K Schrader,28,0,97,Running
23,22,21,E Sadler,28,0,94,Running
24,37,66,D Waltrip,28,0,91,Running
25,4,99,J Burton,28,0,88,Running
26,36,10,R Rudd,28,0,85,Running
27,12,8,D Earnhardt Jr.,28,0,82,Running
28,26,55,K Wallace,28,0,79,Running
29,34,98,R Mast,28,0,76,Running
30,28,7,M Waltrip,28,0,73,Running
31,19,28,K Irwin Jr.,28,0,70,Running
32,41,77,R Pressley,28,0,67,Running
33,33,9,J Nadeau,28,0,64,Running
34,32,44,K Petty,28,0,61,Running
35,27,26,J Benson,28,0,58,Running
36,11,40,S Marlin,28,0,55,Running
37,29,42,J Nemechek,28,0,52,Running
38,30,16,K Lepage,28,0,49,Running
39,10,22,W Burton,28,0,46,Running
40,39,36,E Irvan,28,0,43,Running
41,42,58,R Craven,11,0,40,Tire
42,25,43,J Andretti,8,0,37,Retired
