F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,18,17,M Kenseth,60,13,180,Running
2,8,6,M Martin,60,0,170,Running
3,11,20,T Stewart,60,0,165,Running
4,3,18,B Labonte,60,8,165,Running
5,7,88,D Jarrett,60,6,160,Running
6,2,99,J Burton,60,0,150,Running
7,24,8,D Earnhardt Jr.,60,0,146,Running
8,15,31,M Skinner,60,0,142,Running
9,12,22,W Burton,60,0,138,Running
10,10,24,J Gordon,60,0,134,Running
11,23,3,D Earnhardt,60,0,130,Running
12,25,40,S Marlin,60,0,127,Running
13,1,25,T Barron,60,12,129,Running
14,4,02,C Barron,60,21,131,Running
15,29,28,K Irwin Jr.,60,0,118,Running
16,5,4,B Hamilton,60,0,115,Running
17,32,21,E Sadler,60,0,112,Running
18,6,12,J Mayfield,60,0,109,Running
19,31,43,J Andretti,60,0,106,Running
20,16,2,R Wallace,60,0,103,Running
21,35,60,G Bodine,60,0,100,Running
22,19,55,K Wallace,60,0,97,Running
23,41,26,J Benson,59,0,94,Running
24,21,5,T Labonte,59,0,91,Running
25,28,10,R Rudd,59,0,88,Running
26,22,98,R Mast,59,0,85,Running
27,27,23,J Spencer,59,0,82,Running
28,36,42,J Nemechek,59,0,79,Running
29,20,44,K Petty,59,0,76,Running
30,33,9,J Nadeau,59,0,73,Running
31,39,11,B Bodine,59,0,70,Running
32,14,16,K Lepage,59,0,67,Running
33,37,75,T Musgrave,59,0,64,Running
34,38,41,D Green,59,0,61,Running
35,26,94,B Elliott,59,0,58,Running
36,13,7,M Waltrip,59,0,55,No Fuel
37,42,45,R Bickle,59,0,52,Running
38,40,66,D Waltrip,58,0,49,No Fuel
39,34,36,E Irvan,58,0,46,Running
40,30,97,C Little,57,0,43,Running
41,9,1,S Park,38,0,40,Retired
42,17,33,K Schrader,31,0,37,Piston
