F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,4,25,T Barron,60,46,185,Running
2,21,02,C Barron,60,5,175,Running
3,11,6,M Martin,60,2,170,Running
4,35,23,J Spencer,60,0,160,Running
5,6,18,B Labonte,60,0,155,Running
6,9,31,M Skinner,60,0,150,Running
7,1,88,D Jarrett,60,7,151,Running
8,7,2,R Wallace,60,0,142,Running
9,8,98,R Mast,60,0,138,Running
10,30,4,B Hamilton,60,0,134,Running
11,26,26,J Benson,60,0,130,Running
12,25,28,K Irwin Jr.,60,0,127,Running
13,15,44,K Petty,60,0,124,Running
14,31,94,B Elliott,60,0,121,Running
15,19,40,S Marlin,60,0,118,Running
16,37,66,D Waltrip,60,0,115,Running
17,3,8,D Earnhardt Jr.,59,0,112,Running
18,2,20,T Stewart,59,0,109,Running
19,17,99,J Burton,59,0,106,Running
20,5,24,J Gordon,59,0,103,Running
21,27,33,K Schrader,59,0,100,Running
22,33,10,R Rudd,59,0,97,Running
23,22,22,W Burton,59,0,94,Running
24,28,12,J Mayfield,59,0,91,Running
25,36,41,D Green,59,0,88,Running
26,14,60,G Bodine,59,0,85,Running
27,29,43,J Andretti,58,0,82,Running
28,32,17,M Kenseth,58,0,79,Running
29,10,16,K Lepage,58,0,76,Running
30,23,9,J Nadeau,58,0,73,Running
31,24,1,S Park,58,0,70,Running
32,39,77,R Pressley,58,0,67,Running
33,38,21,E Sadler,58,0,64,Running
34,34,97,C Little,58,0,61,Running
35,16,3,D Earnhardt,58,0,58,Running
36,13,55,K Wallace,58,0,55,Running
37,12,5,T Labonte,57,0,52,Running
38,18,75,T Musgrave,57,0,49,Running
39,20,7,M Waltrip,13,0,46,Accident
