F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,25,T Barron,49,18,180,Running
2,4,99,J Burton,49,0,170,Running
3,6,3,D Earnhardt,48,21,175,Running
4,3,28,R Rudd,48,4,165,Running
5,8,02,C Barron,48,5,160,Running
6,5,24,J Gordon,48,0,150,Running
7,9,2,R Wallace,48,0,146,Running
8,7,22,W Burton,48,0,142,Running
9,10,20,T Stewart,48,0,138,Running
10,1,88,D Jarrett,48,1,139,Running
11,12,6,M Martin,48,0,130,Running
12,18,40,S Marlin,48,0,127,Running
13,11,18,B LaBonte,48,0,124,Running
14,15,10,J Benson,48,0,121,Running
15,13,5,T Labonte,48,0,118,Running
16,20,8,D Earnhardt Jr.,48,0,115,Running
17,16,17,M Kenseth,48,0,112,Running
18,14,31,M Skinner,48,0,109,Running
19,19,1,S Park,48,0,106,Running
20,36,50,R Craven,47,0,103,Running
21,23,43,J Andretti,47,0,100,Running
22,30,01,T Musgrave,47,0,97,Running
23,31,11,B Bodine,47,0,94,Running
24,34,93,D Blaney,47,0,91,Running
25,41,26,J Spencer,47,0,88,Running
26,35,00,B Jones,47,0,85,Running
27,27,77,R Pressley,47,0,82,Running
28,24,60,G Bodine,47,0,79,Running
29,40,9,S Compton,47,0,76,Running
30,29,12,J Mayfield,47,0,73,Running
31,22,66,D Waltrip,47,0,70,Running
32,21,75,W Dallenbach,46,0,67,Running
33,28,71,D Marcis,46,0,64,Running
34,38,32,S Pruett,46,0,61,Running
35,39,90,R Mast,46,0,58,Running
36,25,21,E Sadler,46,0,55,Running
37,37,42,K Irwin Jr.,45,0,52,Running
38,17,94,B Elliott,44,0,49,Running
39,32,44,K Petty,43,0,46,Running
40,33,97,C Little,43,0,43,Running
41,26,7,M Waltrip,33,0,40,Camshaft
