F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,3,D Earnhardt,30,28,185,Running
2,5,99,J Burton,30,0,170,Running
3,3,28,R Rudd,30,0,165,Running
4,15,88,D Jarrett,30,0,160,Running
5,4,24,J Gordon,30,0,155,Running
6,6,22,W Burton,30,0,150,Running
7,8,6,M Martin,30,0,146,Running
8,11,02,C Barron,30,2,147,Running
9,13,40,S Marlin,30,0,138,Running
10,10,18,B LaBonte,30,0,134,Running
11,2,25,T Barron,30,0,130,Running
12,17,10,J Benson,30,0,127,Running
13,14,31,M Skinner,30,0,124,Running
14,7,20,T Stewart,30,0,121,Running
15,18,8,D Earnhardt Jr.,30,0,118,Running
16,16,5,T Labonte,30,0,115,Running
17,19,1,S Park,30,0,112,Retired
18,12,17,M Kenseth,30,0,109,Running
19,9,2,R Wallace,30,0,106,Running
20,22,11,B Bodine,29,0,103,Running
21,29,26,J Spencer,29,0,100,Running
22,30,43,J Andretti,29,0,97,Running
23,36,9,S Compton,29,0,94,Running
24,31,97,C Little,29,0,91,Running
25,26,12,J Mayfield,29,0,88,Running
26,32,77,R Pressley,29,0,85,Running
27,25,21,E Sadler,29,0,82,Running
28,39,71,D Marcis,29,0,79,Running
29,35,93,D Blaney,29,0,76,Running
30,24,32,S Pruett,29,0,73,Running
31,28,44,K Petty,29,0,70,Running
32,23,60,G Bodine,29,0,67,Running
33,41,00,B Jones,29,0,64,Running
34,21,01,T Musgrave,29,0,61,Running
35,27,50,R Craven,29,0,58,Running
36,37,75,W Dallenbach,29,0,55,Running
37,40,90,R Mast,28,0,52,Retired
38,33,66,D Waltrip,28,0,49,Running
39,34,7,M Waltrip,27,0,46,Accident
40,38,42,K Irwin Jr.,27,0,43,Accident
41,20,94,B Elliott,25,0,40,Retired
