F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,6,02,C Barron,75,27,180,Running
2,3,3,D Earnhardt,75,0,170,Running
3,1,25,T Barron,75,48,175,Running
4,4,28,R Rudd,75,0,160,Running
5,7,10,J Benson,75,0,155,Running
6,5,22,W Burton,75,0,150,Running
7,8,99,J Burton,75,0,146,Running
8,16,5,T Labonte,75,0,142,Running
9,11,18,B LaBonte,75,0,138,Running
10,2,24,J Gordon,75,0,134,Running
11,20,94,B Elliott,75,0,130,Running
12,15,17,M Kenseth,74,0,127,Running
13,14,88,D Jarrett,74,0,124,Running
14,28,00,B Jones,74,0,121,Running
15,10,2,R Wallace,74,0,118,Running
16,17,31,M Skinner,74,0,115,Running
17,27,7,M Waltrip,73,0,112,Running
18,19,1,S Park,73,0,109,Running
19,23,11,B Bodine,73,0,106,Running
20,9,6,M Martin,73,0,103,Running
21,33,44,K Petty,73,0,100,Running
22,26,21,E Sadler,73,0,97,Running
23,31,26,J Spencer,73,0,94,Running
24,35,93,D Blaney,73,0,91,Running
25,37,32,S Pruett,73,0,88,Running
26,21,66,D Waltrip,73,0,85,Running
27,39,01,T Musgrave,73,0,82,Running
28,34,9,S Compton,73,0,79,Running
29,18,8,D Earnhardt Jr.,72,0,76,Running
30,25,50,R Craven,72,0,73,Running
31,13,20,T Stewart,72,0,70,Running
32,38,97,C Little,71,0,67,Running
33,29,75,W Dallenbach,71,0,64,Running
34,36,71,D Marcis,71,0,61,Running
35,40,42,K Irwin Jr.,71,0,58,Running
36,24,60,G Bodine,71,0,55,Running
37,30,77,R Pressley,71,0,52,Running
38,32,43,J Andretti,62,0,49,Retired
39,12,40,S Marlin,56,0,46,Retired
40,41,90,R Mast,55,0,43,Retired
41,22,12,J Mayfield,40,0,40,Retired
