F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,14,25,T Barron,41,22,185,Running
2,19,02,C Barron,41,0,170,Running
3,1,3,D Earnhardt,41,19,170,Running
4,10,99,J Burton,41,0,160,Running
5,2,24,J Gordon,41,0,155,Running
6,16,10,J Benson,41,0,150,Running
7,20,94,B Elliott,40,0,146,Running
8,4,88,D Jarrett,40,0,142,Running
9,17,8,D Earnhardt Jr.,40,0,138,Running
10,3,28,R Rudd,40,0,134,Running
11,5,22,W Burton,40,0,130,Running
12,8,20,T Stewart,40,0,127,Running
13,12,31,M Skinner,40,0,124,Running
14,15,1,S Park,40,0,121,Running
15,9,40,S Marlin,40,0,118,Running
16,13,5,T Labonte,40,0,115,Running
17,11,18,B LaBonte,40,0,112,Running
18,7,2,R Wallace,40,0,109,Running
19,6,6,M Martin,40,0,106,Running
20,26,93,D Blaney,39,0,103,Running
21,38,42,K Irwin Jr.,39,0,100,Running
22,27,75,W Dallenbach,39,0,97,Running
23,21,11,B Bodine,39,0,94,Running
24,29,01,T Musgrave,39,0,91,Running
25,25,26,J Spencer,39,0,88,Running
26,34,60,G Bodine,39,0,85,Running
27,23,12,J Mayfield,39,0,82,Running
28,24,21,E Sadler,39,0,79,Running
29,22,43,J Andretti,39,0,76,Running
30,32,97,C Little,39,0,73,Running
31,35,66,D Waltrip,39,0,70,Running
32,37,50,R Craven,39,0,67,Running
33,33,32,S Pruett,39,0,64,Running
34,28,9,S Compton,39,0,61,Running
35,36,71,D Marcis,39,0,58,Running
36,41,77,R Pressley,38,0,55,Running
37,30,7,M Waltrip,38,0,52,Running
38,31,44,K Petty,38,0,49,Running
39,40,90,R Mast,38,0,46,Running
40,39,00,B Jones,38,0,43,Running
41,18,17,M Kenseth,17,0,40,Valve
