F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,14,3,D Earnhardt,49,15,185,Running
2,8,22,W Burton,49,5,175,Running
3,4,24,J Gordon,49,9,170,Running
4,20,10,J Benson,49,0,160,Running
5,3,99,J Burton,49,0,155,Running
6,6,2,R Wallace,49,0,150,Running
7,9,6,M Martin,49,0,146,Running
8,13,28,R Rudd,49,0,142,Running
9,10,1,S Park,49,0,138,Running
10,7,02,C Barron,49,0,134,Running
11,2,25,T Barron,49,8,135,Running
12,16,40,S Marlin,49,0,127,Running
13,12,5,T Labonte,48,0,124,Running
14,30,60,G Bodine,48,0,121,Running
15,26,26,J Spencer,48,0,118,Running
16,1,88,D Jarrett,48,12,120,Running
17,41,90,R Mast,48,0,112,Running
18,15,17,M Kenseth,48,0,109,Running
19,40,00,B Jones,48,0,106,Running
20,37,50,R Craven,48,0,103,Running
21,32,42,K Irwin Jr.,48,0,100,Running
22,21,32,S Pruett,47,0,97,Running
23,25,77,R Pressley,47,0,94,Running
24,29,71,D Marcis,47,0,91,Running
25,34,75,W Dallenbach,47,0,88,Running
26,22,11,B Bodine,47,0,85,Running
27,31,7,M Waltrip,47,0,82,Running
28,24,21,E Sadler,47,0,79,Running
29,5,20,T Stewart,43,0,76,Camshaft
30,35,12,J Mayfield,42,0,73,Retired
31,18,94,B Elliott,42,0,70,Accident
32,17,8,D Earnhardt Jr.,42,0,67,Retired
33,11,31,M Skinner,42,0,64,Accident
34,23,01,T Musgrave,42,0,61,Running
35,19,18,B LaBonte,41,0,58,Accident
36,39,44,K Petty,40,0,55,Accident
37,33,9,S Compton,40,0,52,Retired
38,28,97,C Little,40,0,49,Accident
39,27,66,D Waltrip,39,0,46,Accident
40,38,43,J Andretti,11,0,43,Retired
41,36,93,D Blaney,10,0,40,Accident
