F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,02,C Barron,75,20,180,Running
2,7,25,T Barron,75,55,180,Running
3,2,24,J Gordon,75,0,165,Running
4,6,28,R Rudd,75,0,160,Running
5,4,40,S Marlin,75,0,155,Running
6,8,88,D Jarrett,75,0,150,Running
7,9,93,D Blaney,75,0,146,Running
8,3,29,K Harvick,75,0,142,Running
9,11,33,J Nemechek,75,0,138,Running
10,17,22,W Burton,75,0,134,Running
11,13,36,K Schrader,75,0,130,Running
12,33,8,D Earnhardt Jr.,75,0,127,Running
13,5,6,M Martin,75,0,124,Running
14,18,26,J Spencer,74,0,121,Running
15,32,18,B Labonte,74,0,118,Running
16,15,21,E Sadler,74,0,115,Running
17,16,99,J Burton,74,0,112,Running
18,21,2,R Wallace,74,0,109,Running
19,19,32,R Craven,74,0,106,Running
20,14,20,T Stewart,74,0,103,Running
21,12,9,B Elliott,74,0,100,Running
22,10,19,C Atwood,74,0,97,Running
23,26,97,K Busch,74,0,94,Running
24,20,10,J Benson,74,0,91,Running
25,28,4,K Lepage,74,0,88,Running
26,24,7,M Wallace,74,0,85,Running
27,42,66,T Bodine,74,0,82,Running
28,37,11,B Bodine,74,0,79,Running
29,25,17,M Kenseth,74,0,76,Running
30,36,43,J Andretti,74,0,73,Running
31,29,5,T Labonte,74,0,70,Running
32,27,12,J Mayfield,74,0,67,Running
33,40,31,M Skinner,74,0,64,Running
34,35,01,J Leffler,73,0,61,Running
35,34,15,M Waltrip,73,0,58,Running
36,22,77,R Pressley,62,0,55,Retired
37,41,1,S Park,61,0,52,Retired
38,23,14,R Hornaday,61,0,49,Retired
39,39,44,B Jones,61,0,46,Retired
40,30,55,B Hamilton,61,0,43,Retired
41,38,90,H Stricklin,58,0,40,Retired
42,31,92,S Compton,48,0,37,DQ
