F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,4,02,C Barron,47,34,185,Running
2,6,10,J Benson,47,7,175,Running
3,3,25,T Barron,47,6,170,Running
4,28,17,M Kenseth,47,0,160,Running
5,21,22,W Burton,47,0,155,Running
6,13,6,M Martin,47,0,150,Running
7,11,40,S Marlin,47,0,146,Running
8,1,24,J Gordon,47,0,142,Running
9,31,99,J Burton,47,0,138,Running
10,2,8,D Earnhardt Jr.,47,0,134,Running
11,14,2,R Wallace,47,0,130,Running
12,10,19,C Atwood,47,0,127,Running
13,8,88,D Jarrett,47,0,124,Running
14,7,29,K Harvick,47,0,121,Running
15,9,28,R Rudd,47,0,118,Running
16,12,26,J Spencer,47,0,115,Running
17,17,21,E Sadler,47,0,112,Running
18,27,9,B Elliott,47,0,109,Running
19,24,55,B Hamilton,47,0,106,Running
20,35,43,J Andretti,47,0,103,Running
21,32,5,T Labonte,47,0,100,Running
22,16,93,D Blaney,47,0,97,Running
23,40,97,K Busch,47,0,94,Running
24,29,18,B Labonte,47,0,91,Running
25,36,33,J Nemechek,47,0,88,Running
26,23,1,S Park,47,0,85,Running
27,34,36,K Schrader,47,0,82,Running
28,19,32,R Craven,46,0,79,Running
29,25,7,M Wallace,46,0,76,Running
30,42,01,J Leffler,46,0,73,Running
31,15,77,R Pressley,46,0,70,Running
32,26,66,T Bodine,46,0,67,Running
33,37,31,M Skinner,46,0,64,Running
34,38,12,J Mayfield,46,0,61,Running
35,18,92,S Compton,46,0,58,Running
36,22,27,K Wallace,46,0,55,Running
37,33,11,B Bodine,46,0,52,Running
38,30,4,K Lepage,46,0,49,Running
39,39,14,R Hornaday,46,0,46,Running
40,41,44,B Jones,46,0,43,Running
41,5,20,T Stewart,43,0,40,Running
42,20,15,M Waltrip,29,0,37,Piston
