F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,19,10,J Benson,59,16,180,Running
2,13,29,K Harvick,59,0,170,Running
3,7,28,R Rudd,59,13,170,Running
4,5,2,R Wallace,59,0,160,Running
5,15,9,B Elliott,59,0,155,Running
6,20,17,M Kenseth,59,0,150,Running
7,17,8,D Earnhardt Jr.,59,0,146,Running
8,12,22,W Burton,59,0,142,Running
9,16,6,M Martin,59,0,138,Running
10,14,1,S Park,59,0,134,Running
11,24,15,M Waltrip,59,0,130,Running
12,1,40,S Marlin,59,17,137,Running
13,34,45,K Petty,59,0,124,Running
14,37,7,M Wallace,59,0,121,Running
15,28,11,B Bodine,59,0,118,Running
16,10,26,J Spencer,59,0,115,Running
17,2,02,C Barron,59,10,117,Running
18,25,25,T Barron,59,0,109,Running
19,31,93,D Blaney,59,0,106,Running
20,40,92,S Compton,58,0,103,Running
21,41,4,K Lepage,58,0,100,Running
22,6,20,T Stewart,58,0,97,Running
23,27,5,T Labonte,58,0,94,Running
24,21,88,D Jarrett,58,0,91,Running
25,18,36,K Schrader,58,0,88,Running
26,26,55,B Hamilton,58,0,85,Running
27,11,77,R Pressley,58,0,82,Running
28,42,31,M Skinner,58,0,79,Running
29,33,32,R Craven,58,0,76,Running
30,3,99,J Burton,58,3,78,Running
31,29,33,J Nemechek,58,0,70,Running
32,9,19,C Atwood,58,0,67,Running
33,39,66,T Bodine,58,0,64,Running
34,23,43,J Andretti,58,0,61,Running
35,35,97,K Busch,58,0,58,Running
36,22,21,E Sadler,58,0,55,Running
37,32,14,R Hornaday,57,0,52,Running
38,8,18,B Labonte,57,0,49,Running
39,38,12,J Mayfield,51,0,46,Retired
40,30,90,H Stricklin,23,0,43,Retired
41,36,44,B Jones,22,0,40,Piston
42,4,24,J Gordon,10,0,37,Ignition
