RaceNum,RaceName,Name
1,Daytona 500,Daytona International Speedway
2,DuraLube 400,North Carolina Speedway
3,UAW Daimler Chrysler 400,Las Vegas Motor Speedway
4,Cracker Barrel Old Country Store 500,Atlanta Motor Speedway
5,Carolina Dodge Dealers 400,Darlington Raceway
6,Food City 500,Bristol Motor Speedway
7,Harrahs 500,Texas Motor Speedway
8,Virginia 500,Martinsville Speedway
9,Talladega 500,Talladega Superspeedway
10,NAPA Auto Parts 500,Auto Club Speedway
11,Pontiac Excitement 400,Richmond International Raceway
12,Coca-Cola 600,Lowe's Motor Speedway
13,MBNA Platinum 400,Dover Downs International Speedway
14,Kmart 400,Michigan Speedway
15,Pocono 500,Pocono Raceway
16,Dodge Save Mart 350,Sears Point Raceway
17,Pepsi 400,Daytona International Speedway
18,Tropicana 400,Chicagoland Speedway
19,New England 300,New Hampshire International Speedway
20,Pennsylvania 500,Pocono Raceway
21,Brickyard 400,Indianapolis Motor Speedway
22,Global Crossing @ The Glen,Watkins Glen International
23,Pepsi 400,Michigan Speedway
24,Sharpie 500,Bristol Motor Speedway
25,Mountain Dew Southern 500,Darlington Raceway
26,Chevy Monte Carlo 400,Richmond International Raceway
27,New Hampshire 300,New Hampshire International Speedway
28,MBNA Cal Ripken Jr 400,Dover Downs International Speedway
29,Protection One 400,Kansas Speedway
30,UAW-GM Quality 500,Lowe's Motor Speedway
31,Old Dominion 500,Martinsville Speedway
32,EA Sports 500,Talladega Superspeedway
33,Checker Auto Parts Dura Lube 500,Phoenix International Raceway
34,Pop Secret Microwave Popcorn 400,North Carolina Speedway
35,Pennzoil Freedom 400,Homestead-Miami Speedway
36,NAPA 500,Atlanta Motor Speedway
