F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,41,35,185,Running
2,2,02,C Barron,41,6,175,Running
3,3,20,T Stewart,41,0,165,Running
4,8,2,R Wallace,41,0,160,Running
5,10,97,K Busch,41,0,155,Running
6,12,8,D Earnhardt Jr.,41,0,150,Running
7,4,17,M Kenseth,41,0,146,Running
8,13,32,R Craven,41,0,142,Running
9,7,9,B Elliott,41,0,138,Running
10,27,40,S Marlin,41,0,134,Running
11,6,6,M Martin,41,0,130,Running
12,14,88,D Jarrett,40,0,127,Running
13,18,30,J Green,40,0,124,Running
14,28,18,B Labonte,40,0,121,Running
15,16,15,M Waltrip,40,0,118,Running
16,25,31,R Gordon,40,0,115,Running
17,36,45,K Petty,40,0,112,Running
18,20,28,R Rudd,40,0,109,Running
19,34,21,E Sadler,40,0,106,Running
20,15,99,J Burton,40,0,103,Running
21,21,10,J Benson,40,0,100,Running
22,19,12,R Newman,40,0,97,Ignition
23,24,36,K Schrader,40,0,94,Running
24,26,19,J Mayfield,40,0,91,Running
25,11,5,T Labonte,40,0,88,Running
26,30,4,M Skinner,40,0,85,Running
27,37,43,J Andretti,40,0,82,Running
28,23,55,B Hamilton,40,0,79,Running
29,35,22,W Burton,40,0,76,Running
30,22,29,K Harvick,40,0,73,Running
31,9,77,D Blaney,40,0,70,Running
32,31,1,S Park,40,0,67,Running
33,32,7,C Atwood,40,0,64,Running
34,38,11,B Bodine,40,0,61,Running
35,29,26,T Bodine,40,0,58,Running
36,17,24,J Gordon,40,0,55,Running
37,40,23,K Wallace,40,0,52,Running
38,39,14,S Compton,40,0,49,Running
39,41,09,G Bodine,39,0,46,Running
40,42,44,S Grissom,39,0,43,Running
41,33,41,J Spencer,39,0,40,Running
42,5,48,J Johnson,27,0,37,Tire
