F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,38,25,185,Running
2,6,24,J Gordon,37,0,170,Running
3,7,2,R Wallace,37,0,165,Running
4,3,20,T Stewart,37,0,160,Running
5,11,28,R Rudd,37,0,155,Running
6,14,18,B Labonte,37,0,150,Running
7,9,48,J Johnson,37,0,146,Running
8,8,6,M Martin,37,0,142,Running
9,13,12,R Newman,37,0,138,Running
10,31,40,S Marlin,37,0,134,Running
11,16,9,B Elliott,37,0,130,Running
12,4,99,J Burton,37,0,127,Running
13,5,97,K Busch,37,0,124,Running
14,26,31,R Gordon,37,0,121,Running
15,12,17,M Kenseth,37,0,118,Running
16,27,5,T Labonte,37,0,115,Running
17,28,77,D Blaney,37,0,112,Running
18,30,30,J Green,37,0,109,Running
19,24,88,D Jarrett,37,0,106,Running
20,25,43,J Andretti,37,0,103,Running
21,38,1,S Park,37,0,100,Running
22,21,41,J Spencer,37,0,97,Running
23,35,29,K Harvick,37,0,94,Running
24,22,15,M Waltrip,37,0,91,Running
25,40,7,C Atwood,37,0,88,Running
26,15,22,W Burton,37,0,85,Running
27,29,10,J Benson,37,0,82,Running
28,19,21,E Sadler,36,0,79,Running
29,33,4,M Skinner,36,0,76,Running
30,39,11,B Bodine,36,0,73,Running
31,17,36,K Schrader,36,0,70,Running
32,37,55,B Hamilton,36,0,67,Running
33,32,14,S Compton,36,0,64,Running
34,36,26,T Bodine,36,0,61,Running
35,42,09,G Bodine,36,0,58,Running
36,41,67,B Said,36,0,55,Running
37,2,02,C Barron,35,13,57,Header
38,18,19,J Mayfield,35,0,49,Retired
39,20,45,K Petty,35,0,46,Retired
40,23,32,R Craven,34,0,43,Retired
41,10,8,D Earnhardt Jr.,34,0,40,Running
42,34,23,K Wallace,33,0,37,Retired
