F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,16,25,T Barron,29,18,185,Running
2,9,88,D Jarrett,29,0,170,Running
3,8,12,R Newman,29,2,170,Running
4,25,18,B Labonte,29,0,160,Running
5,12,9,B Elliott,29,0,155,Running
6,11,15,M Waltrip,29,0,150,Running
7,14,77,D Blaney,29,0,146,Running
8,28,21,E Sadler,29,0,142,Running
9,4,2,R Wallace,29,4,143,Running
10,34,10,J Benson,29,0,134,Running
11,31,4,M Skinner,29,0,130,Running
12,35,1,S Park,29,0,127,Running
13,2,48,J Johnson,29,0,124,Running
14,23,19,J Mayfield,29,0,121,Running
15,3,17,M Kenseth,29,0,118,Running
16,38,7,C Atwood,29,0,115,Running
17,6,24,J Gordon,29,0,112,Running
18,15,20,T Stewart,29,0,109,Running
19,19,8,D Earnhardt Jr.,29,0,106,Running
20,1,6,M Martin,29,0,103,Running
21,22,36,K Schrader,28,0,100,Running
22,27,5,T Labonte,28,0,97,Running
23,21,29,K Harvick,28,0,94,Running
24,17,32,R Craven,25,0,91,Retired
25,32,02,C Barron,24,0,88,Accident
26,20,45,K Petty,24,0,85,Accident
27,30,43,J Andretti,24,0,82,Piston
28,36,23,H Stricklin,13,0,79,Retired
29,13,30,J Green,8,0,76,Retired
30,7,97,K Busch,8,1,78,Accident
31,29,41,J Spencer,8,0,70,Retired
32,5,28,R Rudd,8,4,72,Accident
33,10,99,J Burton,8,0,64,Retired
34,26,31,R Gordon,8,0,61,Retired
35,39,26,T Bodine,8,0,58,Accident
36,33,55,B Hamilton,8,0,55,Accident
37,37,11,B Bodine,8,0,52,Accident
38,40,14,S Compton,8,0,49,Accident
39,18,40,S Marlin,1,0,46,Retired
40,24,22,W Burton,1,0,43,Accident
41,41,44,S Grissom,1,0,40,Accident
42,42,09,G Bodine,1,0,37,Retired
