F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,02,C Barron,59,19,180,Running
2,4,48,J Johnson,59,25,180,Running
3,3,17,M Kenseth,59,6,170,Running
4,5,97,K Busch,59,2,165,Running
5,9,88,D Jarrett,59,0,155,Running
6,1,25,T Barron,59,7,155,Running
7,15,40,S Marlin,59,0,146,Running
8,7,15,M Waltrip,59,0,142,Running
9,28,10,J Benson,59,0,138,Running
10,40,26,T Bodine,59,0,134,Running
11,35,23,K Wallace,58,0,130,Running
12,38,14,S Compton,58,0,127,Running
13,37,09,G Bodine,58,0,124,Running
14,33,31,R Gordon,58,0,121,Running
15,14,2,R Wallace,58,0,118,Running
16,26,8,D Earnhardt Jr.,57,0,115,Running
17,16,6,M Martin,57,0,112,Running
18,18,30,J Green,57,0,109,Running
19,22,28,R Rudd,57,0,106,Running
20,27,20,T Stewart,57,0,103,Running
21,8,29,K Harvick,57,0,100,Running
22,30,1,S Park,57,0,97,Running
23,20,18,B Labonte,57,0,94,Running
24,12,9,B Elliott,57,0,91,Running
25,39,7,C Atwood,57,0,88,Running
26,21,4,M Skinner,57,0,85,Running
27,29,24,J Gordon,57,0,82,Running
28,31,55,B Hamilton,57,0,79,Running
29,10,99,J Burton,57,0,76,Running
30,6,32,R Craven,57,0,73,Running
31,25,45,K Petty,57,0,70,Running
32,36,43,J Andretti,57,0,67,Running
33,13,22,W Burton,57,0,64,Running
34,24,19,J Mayfield,57,0,61,Running
35,23,21,E Sadler,57,0,58,Running
36,32,5,T Labonte,56,0,55,Running
37,11,41,J Spencer,56,0,52,Running
38,17,36,K Schrader,56,0,49,Running
39,34,77,D Blaney,56,0,46,Running
40,41,11,B Bodine,56,0,43,Running
41,42,67,B Said,18,0,40,Piston
42,19,12,R Newman,11,0,37,Retired
