F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,02,C Barron,30,25,185,Running
2,2,25,T Barron,30,5,175,Running
3,13,24,J Gordon,30,0,165,Running
4,3,29,K Harvick,30,0,160,Running
5,15,18,B Labonte,30,0,155,Running
6,18,9,B Elliott,30,0,150,Running
7,12,99,J Burton,30,0,146,Running
8,37,20,T Stewart,30,0,142,Running
9,5,2,R Wallace,30,0,138,Running
10,11,38,E Sadler,30,0,134,Running
11,22,88,D Jarrett,30,0,130,Running
12,23,7,J Spencer,30,0,127,Running
13,9,5,T Labonte,30,0,124,Running
14,29,16,G Biffle,29,0,121,Running
15,27,6,M Martin,29,0,118,Running
16,26,31,R Gordon,29,0,115,Running
17,19,40,S Marlin,29,0,112,Running
18,20,82,T Musgrave,29,0,109,Running
19,16,97,K Busch,29,0,106,Running
20,10,15,M Waltrip,29,0,103,Running
21,32,23,K Wallace,29,0,100,Running
22,21,77,D Blaney,29,0,97,Running
23,17,22,W Burton,29,0,94,Running
24,14,10,J Benson,29,0,91,Running
25,24,32,R Craven,29,0,88,Running
26,30,42,J McMurray,29,0,85,Running
27,8,8,D Earnhardt Jr.,29,0,82,Running
28,28,19,J Mayfield,29,0,79,Running
29,4,12,R Newman,29,0,76,Running
30,33,1,S Park,29,0,73,Running
31,34,01,J Nadeau,29,0,70,Running
32,41,0,J Leffler,29,0,67,Running
33,35,30,J Green,29,0,64,Running
34,25,21,R Rudd,29,0,61,Running
35,42,49,K Schrader,29,0,58,Running
36,36,75,D Starr,29,0,55,Running
37,38,54,T Bodine,29,0,52,Running
38,31,74,T Raines,29,0,49,Running
39,40,4,M Skinner,29,0,46,Running
40,39,79,B Bigley Jr.,29,0,43,Running
41,7,17,M Kenseth,29,0,40,Running
42,6,48,J Johnson,2,0,37,Retired
